scoring,cv_cycle,AdaBoostClassifier,ExtraTreesClassifier,KNeighborsClassifier,LogisticRegression,SVC
precision,14,0.6666666666666666,0.8333333333333334,1.0,0.3333333333333333,1.0
precision,15,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334
precision,16,0.75,0.6666666666666666,1.0,0.5,0.5714285714285714
precision,17,1.0,1.0,1.0,0.8,0.8333333333333334
precision,18,0.7142857142857143,0.625,1.0,0.5555555555555556,0.8571428571428571
precision,19,1.0,1.0,1.0,0.8,1.0
precision,20,0.8571428571428571,0.8333333333333334,1.0,0.6666666666666666,0.8333333333333334
precision,21,0.7142857142857143,0.625,1.0,0.6,0.6666666666666666
precision,22,0.625,0.6666666666666666,1.0,0.6,1.0
precision,23,1.0,1.0,1.0,1.0,1.0
precision,24,0.6,1.0,1.0,0.8571428571428571,1.0
precision,25,0.8571428571428571,0.75,1.0,0.5,0.8333333333333334
precision,mean,0.828,0.854,0.982,0.685,0.863
precision,median,0.833,0.833,1.0,0.714,0.833
precision,std,0.15,0.146,0.061,0.145,0.141
recall,1,0.3333333333333333,0.5,0.3333333333333333,0.5,0.6666666666666666
recall,2,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.5,0.6666666666666666
recall,3,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.6666666666666666
recall,4,0.8333333333333334,0.8333333333333334,0.5,0.8333333333333334,0.8333333333333334
recall,5,0.6666666666666666,1.0,0.3333333333333333,0.8333333333333334,1.0
recall,6,0.8333333333333334,0.6666666666666666,0.5,1.0,0.8333333333333334
recall,7,1.0,1.0,0.5,0.5,0.8333333333333334
recall,8,0.8333333333333334,1.0,1.0,0.8333333333333334,1.0
recall,9,0.5,0.8333333333333334,0.5,0.5,0.8333333333333334
recall,10,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.8333333333333334
recall,11,0.8333333333333334,0.8333333333333334,0.5,0.8333333333333334,0.8333333333333334
recall,12,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
recall,13,0.8333333333333334,0.6666666666666666,0.16666666666666666,0.5,0.6666666666666666
recall,14,0.3333333333333333,0.8333333333333334,0.5,0.3333333333333333,0.8333333333333334
recall,15,0.8333333333333334,0.8333333333333334,0.5,0.8333333333333334,0.8333333333333334
recall,16,0.5,0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666
recall,17,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.8333333333333334
recall,18,0.8333333333333334,0.8333333333333334,1.0,0.8333333333333334,1.0
recall,19,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
recall,20,1.0,0.8333333333333334,0.3333333333333333,0.6666666666666666,0.8333333333333334
recall,21,0.8333333333333334,0.8333333333333334,0.5,0.5,0.6666666666666666
recall,22,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.5,1.0
recall,23,0.6666666666666666,0.5,0.5,0.5,0.6666666666666666
recall,24,0.5,0.5,0.6666666666666666,1.0,0.8333333333333334
recall,25,1.0,1.0,0.3333333333333333,0.6666666666666666,0.8333333333333334
recall,mean,0.733,0.773,0.547,0.667,0.8
recall,median,0.833,0.833,0.5,0.667,0.833
recall,std,0.183,0.148,0.197,0.176,0.115
roc_auc,1,0.6944444444444445,0.7222222222222222,0.8194444444444445,0.5555555555555556,0.888888888888889
roc_auc,2,0.7500000000000001,0.888888888888889,0.9166666666666667,0.8611111111111112,0.9166666666666667
roc_auc,3,0.9166666666666667,0.9722222222222223,0.9166666666666667,0.7777777777777779,1.0
roc_auc,4,0.9444444444444445,0.8888888888888888,0.9305555555555556,0.7777777777777779,0.9444444444444445
roc_auc,5,0.8611111111111112,1.0,0.8611111111111112,0.9444444444444445,1.0
roc_auc,6,0.888888888888889,0.7777777777777778,0.8472222222222222,0.7777777777777779,0.8611111111111112
roc_auc,7,1.0,1.0,0.75,0.8333333333333334,0.9722222222222223
roc_auc,8,0.8611111111111112,0.9722222222222223,1.0,0.8611111111111112,1.0
roc_auc,9,0.9166666666666667,0.9444444444444445,0.8333333333333334,0.7222222222222222,0.9166666666666667
roc_auc,10,0.8333333333333334,0.9583333333333335,0.8750000000000001,0.8333333333333333,0.9444444444444445
roc_auc,11,0.9166666666666667,0.9444444444444445,0.8333333333333334,0.888888888888889,0.9444444444444445
roc_auc,12,0.5833333333333334,0.7638888888888888,0.9166666666666666,0.888888888888889,0.8333333333333333
roc_auc,13,1.0,0.9444444444444445,0.7222222222222222,0.6111111111111112,1.0
roc_auc,14,0.3888888888888889,0.8750000000000001,0.7916666666666667,0.4444444444444444,0.9166666666666667
roc_auc,15,1.0,0.9722222222222222,0.9444444444444444,0.8333333333333334,0.9722222222222223
roc_auc,16,0.7222222222222223,0.8055555555555556,0.6805555555555556,0.5555555555555556,0.75
roc_auc,17,0.888888888888889,0.8472222222222222,0.9583333333333334,0.8333333333333334,0.888888888888889
roc_auc,18,0.8055555555555556,0.8611111111111112,1.0,0.8055555555555555,1.0
roc_auc,19,0.75,0.9166666666666667,0.888888888888889,0.7777777777777779,0.9166666666666667
roc_auc,20,0.8333333333333334,0.9722222222222223,0.8194444444444445,0.8055555555555556,0.9444444444444445
roc_auc,21,0.7777777777777778,0.9166666666666667,0.7777777777777778,0.6388888888888888,0.7777777777777778
roc_auc,22,0.8611111111111112,0.7916666666666666,0.8472222222222223,0.7222222222222222,1.0
roc_auc,23,0.7777777777777778,0.9444444444444445,1.0,0.8055555555555557,1.0
roc_auc,24,0.7222222222222223,0.8611111111111112,0.8611111111111112,0.888888888888889,0.9444444444444445
roc_auc,25,1.0,0.9444444444444445,0.8194444444444444,0.6666666666666667,0.9444444444444445
roc_auc,mean,0.828,0.899,0.864,0.764,0.931
roc_auc,median,0.861,0.917,0.861,0.806,0.944
roc_auc,std,0.138,0.077,0.083,0.121,0.067
