scoring,cv_cycle,AdaBoostClassifier,CatBoostClassifier,ExtraTreesClassifier,GradientBoostingClassifier,KNeighborsClassifier,LogisticRegression,MLPClassifier,RandomForestClassifier,SVC,XGBClassifier
neg_log_loss,9,-0.49487494120770803,-0.5155677845738824,-0.46916795991045773,-3.1274305530888107,-0.5824270685799241,-1.1189847520341627,-0.6564210945715447,-0.5110168448030294,-0.36028278116660356,-0.5961905458273268
neg_log_loss,10,-0.3969664842197675,-0.45230624605925,-0.4952567240331889,-1.3353908101250138,-0.5594880961379741,-0.4619750418652125,-0.3275377059108646,-0.4995188231466497,-0.33558302633146625,-0.5288629241002116
neg_log_loss,11,-0.4187019967528784,-0.43847879208016,-0.45373373772176323,-2.690288653793674,-0.5661589981816167,-0.9526667816960727,-0.5043348104726877,-0.4416818447835718,-0.3242563096683258,-0.5446833055038316
neg_log_loss,12,-0.6916995908586269,-0.6884638544852565,-0.5796625924781657,-1.903778916577009,-0.5254747787572606,-0.42143054986784206,-0.5266920926997803,-0.6169459225727918,-0.5025044371607634,-1.0932875513019764
neg_log_loss,13,-0.46432135597377006,-0.4586837008298903,-0.49236349825002695,-0.11187658141139684,-0.6470565648739542,-1.010876098359044,-0.5077015058646264,-0.5165682880025407,-0.3582422743588383,-0.3996834707634556
neg_log_loss,14,-0.8380122859964557,-0.6597913304834603,-0.5289187782266652,-4.873259843251783,-0.5966511352598826,-1.4097568117364583,-0.9726141295892345,-0.6310039393935205,-0.38076450345578133,-1.2970532369770942
neg_log_loss,15,-0.423220467396747,-0.3866688702461014,-0.4655184478410905,-0.1873634943962622,-0.5603263005299471,-0.9639913104358112,-0.672823791363332,-0.4141545116846979,-0.35568937653334515,-0.11051904177034809
neg_log_loss,16,-0.6423713685610376,-0.6018011869112481,-0.5736935558364008,-1.8287476184478642,-0.6237320841837339,-1.5657855935306453,-1.2185655836923304,-0.6439782994460753,-0.6785429621843688,-1.0433308211274954
neg_log_loss,17,-0.5487143734628136,-0.515704350589057,-0.5882510657334206,-1.170263449497553,-0.5601718364758369,-0.6611954468079043,-0.5854649087680898,-0.5040870682951386,-0.4037291601552164,-0.5899370460880082
neg_log_loss,18,-0.5715609801141256,-0.4877862931025965,-0.5390650117442751,-2.2173508604145624,-0.5174599428640367,-0.7322419360527586,-0.4424835579501077,-0.6082908412513565,-0.3724477251715746,-0.8224840285177702
neg_log_loss,19,-0.4782239568366129,-0.4411379269936604,-0.4157904162314978,-2.2334445270120367,-0.5608011356228336,-1.0784150609291507,-0.633071124275764,-0.40752244183161984,-0.3454094982564584,-0.48428093555089086
neg_log_loss,20,-0.5615839397377493,-0.38871815937034787,-0.5115355000341898,-0.8659393045309326,-0.5877652049382758,-0.8015328014912552,-0.5621182543895361,-0.5010576657319902,-0.3393858979758917,-0.442278388825243
neg_log_loss,21,-0.5522223808361385,-0.5377656782617267,-0.5177638453877081,-3.57632955779381,-0.5879877239845991,-1.539032894484986,-0.8738608588298439,-0.54583418682943,-0.48687388684836463,-0.8363689417505529
neg_log_loss,22,-0.5112976485756923,-0.5066597295385847,-0.5970978301050112,-3.803055533860747,-0.6005199766660951,-0.9439708048419265,-0.5555175413088793,-0.5754290632140081,-0.3395352675589276,-0.7395000598996028
neg_log_loss,23,-0.5880932883171491,-0.4509256003088889,-0.5347377804607688,-0.7797265395189097,-0.5270374400868681,-0.8912187943160311,-0.465305060267131,-0.5104755126754968,-0.3698631421435729,-0.8269255231033031
neg_log_loss,24,-0.6390176992214599,-0.5498055207650274,-0.5295922608590321,-1.3219970460498758,-0.5428488298772184,-0.3678388604881457,-0.13695365658334205,-0.6374183595528518,-0.28796648023378496,-0.5912093445932088
neg_log_loss,25,-0.4158174114090909,-0.4548830666389896,-0.4618369286239395,-1.8869265176492689,-0.5728094976206467,-1.2214237514032924,-1.041197181805152,-0.49212792278770184,-0.3686687584788646,-0.7854984105058831
neg_log_loss,mean,-0.5327132441972278,-0.4869942900785531,-0.5110495354039188,-1.7408530126549178,-0.566380265509625,-0.9060798050372094,-0.5861601684859735,-0.517473884685733,-0.3781183535693283,-0.6792737786354418
neg_log_loss,median,-0.510750336897047,-0.4586837008298903,-0.5115355000341898,-1.6623454270097247,-0.5627014263742984,-0.939682930482569,-0.5555175413088793,-0.507059940005378,-0.3595386326065999,-0.6316416487803617
neg_log_loss,std,0.10109523006910412,0.07628865107650551,0.05345715460831227,1.1416966732997205,0.03510588616538101,0.3649621225574238,0.23842958055349592,0.06827579090002402,0.08231736515622858,0.26991294786630055
precision,1,0.6666666666666666,1.0,0.75,0.5,1.0,0.5,0.6666666666666666,0.75,0.8,0.6666666666666666
precision,2,0.5714285714285714,0.6666666666666666,1.0,0.7142857142857143,1.0,0.75,0.8,0.7142857142857143,0.8,0.5714285714285714
precision,3,0.8333333333333334,0.8,1.0,0.8,1.0,0.6666666666666666,0.6666666666666666,0.8,1.0,0.6666666666666666
precision,4,0.7142857142857143,0.8333333333333334,0.8333333333333334,0.8,1.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.6666666666666666
