scoring,cv_cycle,ECFP2,ECFP4,ECFP6,FCFP2,FCFP4,FCFP6,MACCS,RDK5,RDK6,RDK7,avalon,mordred,pubchem,rdkdes
neg_mean_absolute_error,11,-0.37552078640753106,-0.2967724666431592,-0.2500892502206742,-0.2878367100200447,-0.23166852037053576,-0.2619065930601625,-0.2967282302224489,-0.22856828819846498,-0.25789175308035855,-0.21789443918984605,-0.22144917222185204,-0.16283695243053162,-0.2934198598939662,-0.1495316501260748
neg_mean_absolute_error,12,-0.2847737684416,-0.3148651743236904,-0.2791585997718448,-0.28220516436649273,-0.19878702824602537,-0.20066512637613698,-0.2928145428548773,-0.22684259214733446,-0.21900840598646318,-0.19905558363170212,-0.22338650528669676,-0.1699640983003318,-0.23090852398571698,-0.189635990396066
neg_mean_absolute_error,13,-0.3917685279268712,-0.3005720723623955,-0.25629537832158283,-0.2550091082443729,-0.2116061090185366,-0.28121106468690665,-0.31009956081658135,-0.21689439762544283,-0.15176008911347283,-0.22685969974663373,-0.19477789500125067,-0.2578826771992835,-0.24011007836789713,-0.25498042140706767
neg_mean_absolute_error,14,-0.3211816611737976,-0.3123829915719839,-0.25273158698912146,-0.26333543136990867,-0.2653315430911849,-0.21566111726120904,-0.25560606213378523,-0.2436648069985513,-0.23328639354146263,-0.20441074576178084,-0.23823639231074137,-0.16570314478314724,-0.2463089696217546,-0.2045092627286168
neg_mean_absolute_error,15,-0.34012941514113076,-0.266282485262707,-0.1851116758777482,-0.32713327468475795,-0.246305693782294,-0.2569032022386427,-0.28756464546719557,-0.27791897123151715,-0.1851960805023017,-0.21393572887232823,-0.20576655617857267,-0.25213015386629434,-0.24681832537932877,-0.2795749015875985
neg_mean_absolute_error,16,-0.3726203514621684,-0.29832810954521016,-0.24870397036156175,-0.32908173986327977,-0.21832418147503885,-0.2120016407065756,-0.2673552521166911,-0.21845788279275796,-0.20805164756081024,-0.1762640169667589,-0.19707101125715762,-0.15414270746728273,-0.21719900956710847,-0.1760002229510823
neg_mean_absolute_error,17,-0.27907134709270265,-0.25400654357307273,-0.2684755632931678,-0.24226241564263243,-0.19027874372798603,-0.2284652636589826,-0.3216164278249977,-0.2947751841360358,-0.21737225502763213,-0.18853523249574455,-0.2077120014225214,-0.1568546551118985,-0.21945298229518606,-0.1914274176537425
neg_mean_absolute_error,18,-0.3672788805222962,-0.33615065516207304,-0.27549876232561554,-0.33820870241468487,-0.23036662625446172,-0.20986550087106182,-0.360348600096368,-0.20340388864217207,-0.2007187208518447,-0.23330811592279627,-0.24855255496376183,-0.2657398845315821,-0.3065878504170839,-0.18457609817488033
neg_mean_absolute_error,19,-0.34764510061489323,-0.2768438981545317,-0.25412208794957,-0.24168267488960743,-0.2728779666215282,-0.39841396466861906,-0.2629097521158566,-0.2366185383337033,-0.20877786661108397,-0.19675352506319524,-0.20684170609119004,-0.18710403260499367,-0.2265993853735992,-0.18511567095435102
neg_mean_absolute_error,20,-0.3575857473149562,-0.30182358563877615,-0.25396104349325,-0.294329600245581,-0.2795623520624312,-0.20066426741681237,-0.3009442148088618,-0.24328840699606383,-0.21816275998545023,-0.20581452917403098,-0.22477904815386537,-0.15464338378967368,-0.27453981560490237,-0.2048051721979503
neg_mean_absolute_error,21,-0.38126756841736525,-0.3312312239001656,-0.30315300214720453,-0.3740933974553341,-0.23866382281798262,-0.23110713384221768,-0.2767001858299313,-0.24289809026850523,-0.22168637638446326,-0.20226095446140813,-0.21332741768582109,-0.22638712911809447,-0.19870350926505284,-0.20659518096298102
neg_mean_absolute_error,22,-0.29382934083348516,-0.33892904327836637,-0.23970244094953932,-0.2411049862508461,-0.2158722740273102,-0.27247875453637105,-0.2979896885836072,-0.19359746786601897,-0.2340967716438009,-0.17827602387260683,-0.19030640491869313,-0.22152932547713858,-0.2608454783918072,-0.21413784201487776
