scoring,cv_cycle,AdaBoostRegressor,CatBoostRegressor,CatBoostRegressor_opt,DummyRegressor,ElasticNetCV,ExtraTreesRegressor,GradientBoostingRegressor,KNeighborsRegressor,LinearRegression,MLPRegressor,RandomForestRegressor,Ridge,SVR,XGBRegressor
neg_mean_absolute_error,16,-0.24763633356937628,-0.11932107726398554,-0.13263761842972824,-0.7203337940548024,-0.24350544640376132,-0.12912272313896142,-0.1277583114855604,-0.183085302082337,-0.24172414949908835,-0.16942148610070396,-0.16055449261654925,-0.2435031776432381,-0.16540795845207176,-0.14486037420678116
neg_mean_absolute_error,17,-0.2770627421242181,-0.1493025166467022,-0.1591074940159927,-0.7932870205899873,-0.275075492991037,-0.13986783468893155,-0.14251490006611303,-0.27847728586567544,-0.2877870451654286,-0.17914145927298722,-0.153898448985406,-0.27494878611814644,-0.21091476264646028,-0.1567823681243544
neg_mean_absolute_error,18,-0.35130011206160583,-0.22151533722796266,-0.21265355666411495,-0.8490607536092272,-0.31618517811946,-0.23009239458900912,-0.2323098912486064,-0.31372288013945665,-0.32557020622695404,-0.21494154421688416,-0.2612575152238816,-0.3175295144426673,-0.274793070095739,-0.23628459932311974
neg_mean_absolute_error,19,-0.26311198213376547,-0.13196242747237918,-0.14205666738372724,-0.7510081104511029,-0.24698295413077748,-0.151202106743799,-0.17107324168430652,-0.2248489791780534,-0.25678754150897404,-0.156022837990637,-0.18580787949421956,-0.24473542681986574,-0.18650704578996335,-0.1884033472903889
neg_mean_absolute_error,20,-0.26778899917369536,-0.13790066480960808,-0.14189142323016915,-0.7030644723963226,-0.26521287941648697,-0.14547498137283874,-0.13581495494352475,-0.22004530839070782,-0.2780678180295876,-0.18640329288815854,-0.14539056618112448,-0.2589842496022077,-0.1758790294459854,-0.15956485023362957
neg_mean_absolute_error,21,-0.2845961579470831,-0.1572218958220869,-0.16645469506898306,-0.7558352359323313,-0.3027817276420125,-0.16254271142597437,-0.18662970134256548,-0.24073030380526664,-0.30724007022439903,-0.19072711321595084,-0.22344743305565465,-0.2996928448722962,-0.2070956227740262,-0.19821312993859752
neg_mean_absolute_error,22,-0.27656284931463737,-0.2031614535871954,-0.18781078690054806,-0.7424179695053114,-0.2802515954078763,-0.18623126086280606,-0.17449614175788217,-0.2574167767616295,-0.2864938075642365,-0.20598536756052793,-0.22914973778117342,-0.2825659044627076,-0.2272942890807943,-0.21388106457399383
neg_mean_absolute_error,23,-0.2444331853172783,-0.13443308611013693,-0.14094332382716476,-0.8143915407639946,-0.24640665749622986,-0.15308176622794537,-0.13534935029531872,-0.24918436126133667,-0.27052869923339506,-0.1823146372648999,-0.1434986917889783,-0.24781682604784927,-0.21805826743365808,-0.1531084484093391
neg_mean_absolute_error,24,-0.2706112756974641,-0.14721513680223147,-0.15036541856240457,-0.8034810132232418,-0.23925061963171745,-0.14555792649035654,-0.15720222783179555,-0.22852190301664557,-0.23771720074408337,-0.16403015544244548,-0.18089443919905857,-0.24150130592889185,-0.18787373563946755,-0.15404717181729896
neg_mean_absolute_error,25,-0.24802946913668925,-0.1254978906445997,-0.13906292513497423,-0.6995608947566665,-0.26155703405774877,-0.1268345099981642,-0.1328274077396629,-0.17981804730136475,-0.26856923698128726,-0.14355539528018857,-0.1476681793132416,-0.24985203806214534,-0.153185336382717,-0.13809622843982777
neg_mean_absolute_error,mean,-0.27523290189455824,-0.1575248217133739,-0.16192433182968613,-0.7644240469091689,-0.27561474451472134,-0.15967301248018223,-0.16548110965398727,-0.2445900306266946,-0.28444548198490954,-0.18629209344156453,-0.18382017983326374,-0.27305965074254474,-0.2056985826381953,-0.17764329104171594
neg_mean_absolute_error,median,-0.27415317933179234,-0.1540998933115367,-0.15562028885943263,-0.7558352359323313,-0.275075492991037,-0.15280086897378722,-0.15720222783179555,-0.24073030380526664,-0.2877870451654286,-0.19072711321595084,-0.1720640427486894,-0.27191475343285026,-0.20358369438641885,-0.16223342863260581
neg_mean_absolute_error,std,0.027186872513786046,0.029058027141041266,0.024330100767245573,0.05969938276468586,0.028621094265765167,0.02831367999926896,0.030397646483402117,0.043215789564763726,0.030399295506725005,0.02211976288039378,0.03556516619798692,0.028271588514622654,0.03432555498928182,0.03247572654913387
neg_mean_absolute_percentage_error,1,-0.8042252519793401,-0.4941523820133646,-0.6002828527063101,-1.0516620950812636,-0.9798303860629687,-0.48161831327599547,-0.5530789442475182,-0.8094030482722541,-0.9479898718158121,-0.6893444366801075,-0.5468694952822867,-0.9827059934034226,-0.5750581480854333,-0.5554899498781173
neg_mean_absolute_percentage_error,2,-1.0130002236845692,-0.5263842084643806,-0.6940350982723266,-0.996713331810971,-1.5498279977221225,-0.8117697726955315,-0.6106659507447972,-1.5660265087800993,-1.5973119355039975,-1.1908767664378466,-0.8221676185572451,-1.5130760859455572,-1.1986850841838514,-0.6892299313813949
neg_mean_absolute_percentage_error,3,-1.3602570926677389,-0.5633089149395436,-0.7280577093977835,-0.981424602555767,-1.80422758434744,-0.7282454915577771,-0.562115718013274,-1.3183212439374035,-1.7497581250889434,-0.8499300231098855,-0.7677430578821848,-1.9248341577620216,-0.7425893313350316,-0.7152054451328884
neg_mean_absolute_percentage_error,4,-6.397182242470198,-0.8409430197547267,-1.3692771535487314,-1.2361313302096932,-2.9868010373460727,-1.0286554680541535,-0.45363643540147575,-2.360655451048469,-3.263805511774609,-2.5938149680231994,-1.3734492977991024,-2.7529389847030745,-0.8482640287914279,-1.0219177935921218
neg_mean_absolute_percentage_error,5,-1.329304551992837,-0.39458789830787677,-0.6029087945573093,-1.018525763931774,-1.3039187280032274,-0.3152844759540162,-0.44579337115130296,-0.632132031553872,-1.347833230860932,-0.6282424720841536,-0.3534519997723732,-1.2296251278222077,-0.4645627327890572,-0.44543737959931917
neg_mean_absolute_percentage_error,6,-0.6858099082305267,-0.39995993662311696,-0.4640636938928364,-1.036066087366892,-0.9345290490097143,-0.4296085438448706,-0.41563228057315305,-0.9599093596263647,-0.9584928861922193,-0.7039382912321387,-0.5774567338752483,-0.9428587365022645,-0.5649864233905504,-0.4714823347641581
neg_mean_absolute_percentage_error,7,-1.058184688680814,-0.40795233931553815,-0.4021100070556526,-1.020905509534313,-1.9718953567785547,-0.46280772841842155,-0.48304955345857786,-1.1061749674201868,-2.1948650669835117,-0.7995997328536011,-0.6022119431192692,-1.8242648424141414,-0.6147339882188132,-0.6399546629225938
